attack,total_samples,bonafide_samples,spoof_samples,tp,tn,fp,fn,accuracy,precision,recall,f1,specificity,fpr,tpr,roc_auc,eer
A07,12269,7355,4914,4791,7221,134,123,0.9790528975466624,0.9727918781725888,0.974969474969475,0.9738794592946438,0.9817811012916383,0.018218898708361658,0.974969474969475,0.9956699140927557,0.020236193043806895
A08,12269,7355,4914,3356,7221,134,1558,0.8620914499959247,0.9616045845272206,0.6829466829466829,0.7986673012851023,0.9817811012916383,0.018218898708361658,0.6829466829466829,0.9365106203311506,0.13377685587066962
A09,12269,7355,4914,4900,7221,134,14,0.9879370771864048,0.9733810091378625,0.9971509971509972,0.9851226377161239,0.9817811012916383,0.018218898708361658,0.9971509971509972,0.9971206865496464,0.010355808554312954
A10,12269,7355,4914,4833,7221,134,81,0.9824761594261961,0.9730219448359171,0.9835164835164835,0.9782410687177411,0.9817811012916383,0.018218898708361658,0.9835164835164835,0.9955615512719523,0.01752005327804105
A11,12269,7355,4914,4908,7221,134,6,0.9885891270682208,0.9734232447441491,0.9987789987789988,0.9859381277621535,0.9817811012916383,0.018218898708361658,0.9987789987789988,0.9981718736987262,0.007164244723728093
A12,12269,7355,4914,4865,7221,134,49,0.9850843589534599,0.9731946389277856,0.99002849002849,0.9815393927166347,0.9817811012916383,0.018218898708361658,0.99002849002849,0.9969532934522738,0.014260508482126422
A13,12269,7355,4914,4914,7221,134,0,0.9890781644795826,0.9734548335974643,1.0,0.9865488857659105,0.9817811012916383,0.018218898708361658,1.0,0.9987002825208128,0.005127029226281445
A14,12269,7355,4914,4911,7221,134,3,0.9888336457739016,0.9734390485629336,0.9993894993894994,0.9862435987548951,0.9817811012916383,0.018218898708361658,0.9993894993894994,0.9985371226703655,0.005908146288839703
A15,12269,7355,4914,4881,7221,134,33,0.9863884587170919,0.9732801595214357,0.9932844932844933,0.9831805821331453,0.9817811012916383,0.018218898708361658,0.9932844932844933,0.9970961309506517,0.012325043086429895
A16,12269,7355,4914,4794,7221,134,120,0.9792974162523433,0.9728084415584416,0.9755799755799756,0.974192237350132,0.9817811012916383,0.018218898708361658,0.9755799755799756,0.9949752465727992,0.021662465238263994
A17,12269,7355,4914,1052,7221,134,3862,0.6743010840329285,0.8870151770657673,0.2140822140822141,0.34491803278688526,0.9817811012916383,0.018218898708361658,0.2140822140822141,0.8667376911428577,0.21102131370656185
A18,12269,7355,4914,3572,7221,134,1342,0.8796967968049556,0.9638424177010254,0.726902726902727,0.8287703016241299,0.9817811012916383,0.018218898708361658,0.726902726902727,0.9758753898114878,0.0707591373804834
A19,12269,7355,4914,3990,7221,134,924,0.9137664031298395,0.9675072744907857,0.811965811965812,0.8829387032529321,0.9817811012916383,0.018218898708361658,0.811965811965812,0.9845905246653036,0.050454963371346785
