attack,total_samples,bonafide_samples,spoof_samples,tp,tn,fp,fn,accuracy,precision,recall,f1,specificity,fpr,tpr,roc_auc,eer,eer_percent
A07,12269,7355,4914,4914,7350,5,0,0.999592468823865,0.9989835332384631,1.0,0.9994915081867182,0.9993201903467029,0.0006798096532970768,1.0,0.9999998754927375,6.798096532970769e-05,0.006798096532970768
A08,12269,7355,4914,4907,7350,5,7,0.9990219251772761,0.9989820846905537,0.9985754985754985,0.9987787502544271,0.9993201903467029,0.0006798096532970768,0.9985754985754985,0.9999916303451313,0.0013582912291273928,0.13582912291273927
A09,12269,7355,4914,4807,7350,5,107,0.9908713016545766,0.9989609310058188,0.9782254782254782,0.9884844746041538,0.9993201903467029,0.0006798096532970768,0.9782254782254782,0.9998638167230961,0.002852101696425262,0.2852101696425262
A10,12269,7355,4914,2789,7350,5,2125,0.826391718966501,0.9982104509663565,0.5675620675620675,0.7236637259989621,0.9993201903467029,0.0006798096532970768,0.5675620675620675,0.9958079788127374,0.027264475836875572,2.7264475836875572
A11,12269,7355,4914,3629,7350,5,1285,0.8948569565571767,0.9986241056686846,0.7385022385022385,0.8490875058493215,0.9993201903467029,0.0006798096532970768,0.7385022385022385,0.9983494902257649,0.015754318949424348,1.5754318949424349
A12,12269,7355,4914,1713,7350,5,3201,0.7386910098622544,0.9970896391152503,0.3485958485958486,0.5165862484921593,0.9993201903467029,0.0006798096532970768,0.3485958485958486,0.9878020926627318,0.051032137537915925,5.103213753791593
A13,12269,7355,4914,2270,7350,5,2644,0.7840899828836906,0.9978021978021978,0.46194546194546193,0.6315203783558214,0.9993201903467029,0.0006798096532970768,0.46194546194546193,0.994330464962688,0.033036660195055856,3.3036660195055854
A14,12269,7355,4914,4882,7350,5,32,0.9969842692966012,0.9989768774299161,0.9934879934879934,0.9962248750127538,0.9993201903467029,0.0006798096532970768,0.9934879934879934,0.9999520232015133,0.0022407157009468317,0.22407157009468318
A15,12269,7355,4914,2245,7350,5,2669,0.7820523270030157,0.9977777777777778,0.4568579568579569,0.6267448352875489,0.9993201903467029,0.0006798096532970768,0.4568579568579569,0.9948410139096746,0.028690748031332675,2.8690748031332673
A16,12269,7355,4914,4914,7350,5,0,0.999592468823865,0.9989835332384631,1.0,0.9994915081867182,0.9993201903467029,0.0006798096532970768,1.0,0.9999979525472388,0.000577174166569135,0.057717416656913496
A17,12269,7355,4914,56,7350,5,4858,0.603635178091124,0.9180327868852459,0.011396011396011397,0.022512562814070353,0.9993201903467029,0.0006798096532970768,0.011396011396011397,0.8313094539471154,0.24144402693009084,24.144402693009084
A18,12269,7355,4914,468,7350,5,4446,0.6372157470046459,0.9894291754756871,0.09523809523809523,0.1737516242806757,0.9993201903467029,0.0006798096532970768,0.09523809523809523,0.9386626038563496,0.13438824186614803,13.438824186614804
A19,12269,7355,4914,4800,7350,5,114,0.9903007580079876,0.9989594172736732,0.9768009768009768,0.9877559419693384,0.9993201903467029,0.0006798096532970768,0.9768009768009768,0.999713176769601,0.007911149957377,0.7911149957376999
